,Name,Year,Genre,Director,Star1,Star2,Star3,Star4,Star5,Runtime,Rating,Metascore,IMDB rating,Votes,Gross,Inflation adjusted,numStarW,numStarN,starWon,starNom,numMovieW,numMovieN,numOtherW,numOtherN
467,Batman Begins,2005,39,Christopher Nolan,Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson,,140,0,70,8.2,1177001,206850000,267719034,2,6,0,0,0,0,0,0
468,Charlie and the Chocolate Factory,2005,58,Tim Burton,Johnny Depp,Freddie Highmore,David Kelly,Helena Bonham Carter,,115,1,72,6.6,384746,206460000,267214270,0,3,0,0,0,0,0,0
469,Ratatouille,2007,5,Brad Bird,Jan Pinkava,Brad Garrett,Lou Romano,Patton Oswalt,Ian Holm,111,1,96,8.0,570214,206450000,251671574,0,1,0,0,0,0,0,0
470,Thor: The Dark World,2013,0,Alan Taylor,Chris Hemsworth,Natalie Portman,Tom Hiddleston,Stellan Skarsgård,,112,0,54,7.0,524792,206360000,223901516,1,1,0,0,0,0,0,0
471,Austin Powers: The Spy Who Shagged Me,1999,8,Jay Roach,Mike Myers,Heather Graham,Michael York,Robert Wagner,,95,0,59,6.6,201990,206040000,312643323,0,0,0,0,0,0,0,0
472,Terminator 2: Judgment Day,1991,36,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,,137,2,75,8.5,894466,204840000,380164600,0,0,0,0,0,0,0,0
473,The Amazing Spider-Man 2,2014,2,Marc Webb,Andrew Garfield,Emma Stone,Jamie Foxx,Paul Giamatti,,142,0,53,6.6,382896,202850000,216579744,1,2,0,0,0,0,0,0
474,World War Z,2013,101,Marc Forster,Brad Pitt,Mireille Enos,Daniella Kertesz,James Badge Dale,,116,2,63,7.0,547008,202360000,219561499,0,3,0,0,0,0,0,0
475,The Mummy Returns,2001,0,Stephen Sommers,Brendan Fraser,Rachel Weisz,John Hannah,Arnold Vosloo,,130,8,48,6.4,281662,202020000,288379906,0,0,0,0,0,0,0,0
476,Armageddon,1998,2,Michael Bay,Bruce Willis,Billy Bob Thornton,Ben Affleck,Liv Tyler,,151,0,42,6.7,367035,201570000,312552896,0,1,0,0,0,0,0,0
477,Cinderella,2015,106,Kenneth Branagh,Lily James,Cate Blanchett,Richard Madden,Helena Bonham Carter,,105,1,67,6.9,139929,201150000,214510214,2,5,0,0,0,0,0,1
478,Tangled,2010,5,Nathan Greno,Byron Howard,Mandy Moore,Zachary Levi,Donna Murphy,Ron Perlman,100,1,71,7.8,360973,200820000,232780907,0,0,0,0,0,0,0,0
479,Godzilla,2014,2,Gareth Edwards,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,Ken Watanabe,,123,0,62,6.4,343311,200680000,214262870,0,1,0,0,0,0,0,0
480,Superman Returns,2006,2,Bryan Singer,Brandon Routh,Kevin Spacey,Kate Bosworth,James Marsden,,154,0,72,6.1,259116,200080000,250864114,2,0,0,0,0,0,0,0
481,Spectre,2015,39,Sam Mendes,Daniel Craig,Christoph Waltz,Léa Seydoux,Ralph Fiennes,,148,0,60,6.8,348533,200070000,213358481,2,2,0,0,0,0,0,0
